generation,populationA,populationB,ct,prop_of_popB_from_popA
200,9,15,1,0.0046729
200,10,0,1,0.0045045
200,10,6,1,0.00458716
200,10,7,1,0.00473934
200,10,8,1,0.00471698
200,10,11,1,0.00458716
200,10,13,1,0.00460829
200,11,0,1,0.0045045
200,11,6,1,0.00458716
200,11,7,1,0.00473934
200,11,10,1,0.00452489
200,11,12,1,0.00460829
200,11,13,1,0.00460829
200,12,2,1,0.00454545
200,12,5,1,0.00454545
200,12,11,1,0.00458716
200,12,13,1,0.00460829
200,12,19,1,0.0045045
200,13,0,1,0.0045045
200,13,6,1,0.00458716
200,13,7,1,0.00473934
200,13,8,1,0.00471698
200,13,10,1,0.00452489
200,13,11,1,0.00458716
200,13,12,1,0.00460829
200,14,4,1,0.00454545
200,14,15,1,0.0046729
200,14,18,1,0.0045045
200,15,6,1,0.00458716
200,15,7,1,0.00473934
200,15,9,1,0.00446429
200,16,3,1,0.0045045
200,16,17,1,0.00462963
200,16,18,1,0.0045045
200,17,3,1,0.0045045
200,17,16,1,0.00446429
200,18,4,1,0.00454545
200,18,14,1,0.00425532
200,18,16,1,0.00446429
200,18,17,1,0.00462963
200,19,5,1,0.00454545
200,19,12,1,0.00460829
220,0,1,1,0.00490196
220,0,6,1,0.00456621
220,0,8,1,0.00462963
220,0,10,1,0.00452489
220,0,11,1,0.00452489
220,0,13,1,0.00458716
220,2,5,1,0.0045045
220,2,12,1,0.00452489
220,3,16,1,0.00440529
220,3,17,1,0.00465116
220,4,7,1,0.00465116
220,4,14,1,0.00423729
220,4,18,1,0.00465116
220,5,2,1,0.00446429
220,5,12,1,0.00452489
220,5,19,1,0.0045045
220,6,0,1,0.0045045
220,6,7,1,0.00465116
220,6,8,1,0.00462963
220,6,9,1,0.00444444
220,6,10,1,0.00452489
220,6,11,1,0.00452489
220,6,13,1,0.00458716
220,6,15,1,0.00462963
220,7,4,1,0.00458716
220,7,6,1,0.00456621
220,7,10,1,0.00452489
220,7,11,1,0.00452489
220,7,13,1,0.00458716
220,7,15,1,0.00462963
220,8,0,1,0.0045045
220,8,6,1,0.00456621
220,8,9,1,0.00444444
