generation,population1,population2,ld,f_st
200,18,19,0.0116246,0.146209
300,0,1,0.0137982,0.144814
300,0,2,0.0101648,0.123463
300,0,3,0.0105447,0.134212
300,0,4,0.00881816,0.11373
300,0,5,0.00942298,0.118637
300,0,6,0.00392604,0.0334384
300,0,7,0.00538891,0.0612122
300,0,8,0.00484024,0.0479696
300,0,9,0.00590587,0.0724313
300,0,10,0.00389863,0.0311126
300,0,11,0.00451242,0.0414782
300,0,12,0.005885,0.0749776
300,0,13,0.00402695,0.0269292
300,0,14,0.0129207,0.150507
300,0,15,0.005887,0.0767898
300,0,16,0.00924436,0.118482
300,0,17,0.00954599,0.126593
300,0,18,0.00851605,0.113302
300,0,19,0.00886897,0.11013
300,1,2,0.020731,0.197375
300,1,3,0.0203005,0.195872
300,1,4,0.0166264,0.172139
300,1,5,0.0180782,0.185703
300,1,6,0.0138759,0.150648
300,1,7,0.0141957,0.148812
300,1,8,0.0124825,0.137848
300,1,9,0.0151595,0.158437
300,1,10,0.0133179,0.137868
300,1,11,0.0137376,0.146543
300,1,12,0.0144385,0.158704
300,1,13,0.0141008,0.148283
300,1,14,0.0202283,0.198675
300,1,15,0.014482,0.155
300,1,16,0.0185255,0.186868
300,1,17,0.01888,0.189349
300,1,18,0.0177663,0.177641
300,1,19,0.0175991,0.185723
300,2,3,0.0136549,0.162706
300,2,4,0.0135728,0.162556
300,2,5,0.00456567,0.0511282
300,2,6,0.00888282,0.111485
300,2,7,0.0101972,0.124674
300,2,8,0.0104554,0.124036
300,2,9,0.0116893,0.137943
300,2,10,0.00943284,0.118951
300,2,11,0.00772651,0.0948706
300,2,12,0.00502193,0.0509565
300,2,13,0.00829319,0.102589
300,2,14,0.0184358,0.199353
300,2,15,0.0105315,0.131604
300,2,16,0.0139588,0.170211
300,2,17,0.0143066,0.171422
300,2,18,0.0150695,0.178144
300,2,19,0.00612838,0.0732145
300,3,4,0.00870842,0.109883
300,3,5,0.0123622,0.148547
300,3,6,0.00847921,0.113787
300,3,7,0.00875004,0.110473
300,3,8,0.0101743,0.129036
300,3,9,0.00993477,0.129307
300,3,10,0.0095026,0.124933
300,3,11,0.00890621,0.121925
300,3,12,0.0093638,0.125109
300,3,13,0.00848729,0.112542
300,3,14,0.0118036,0.143407
300,3,15,0.0102537,0.128369
300,3,16,0.00433987,0.0564019
300,3,17,0.00374361,0.0340507
300,3,18,0.00692573,0.0931759
300,3,19,0.0118422,0.141274
300,4,5,0.0121928,0.148968
300,4,6,0.00639973,0.0842772
300,4,7,0.00553409,0.0588657
300,4,8,0.00826248,0.106993
300,4,9,0.00688132,0.0822852
300,4,10,0.00729212,0.0943778
300,4,11,0.00666256,0.0877604
300,4,12,0.00815912,0.114318
300,4,13,0.00699675,0.0903444
300,4,14,0.00512742,0.0512292
300,4,15,0.00628008,0.077233
300,4,16,0.00689217,0.0859861
300,4,17,0.00713438,0.0891014
300,4,18,0.00511186,0.05417
300,4,19,0.0119815,0.149474
300,5,6,0.00780723,0.103193
300,5,7,0.0094719,0.119546
300,5,8,0.00879128,0.111394
300,5,9,0.00954508,0.119023
300,5,10,0.00822488,0.110299
300,5,11,0.00665044,0.0813541
300,5,12,0.00438169,0.0353461
300,5,13,0.00760162,0.097179
300,5,14,0.017331,0.187464
300,5,15,0.00978878,0.122957
300,5,16,0.0131562,0.158609
300,5,17,0.0132175,0.158808
300,5,18,0.0133255,0.160358
300,5,19,0.00404965,0.0366406
300,6,7,0.00396616,0.0361343
300,6,8,0.00406083,0.0396303
300,6,9,0.00417589,0.0419402
300,6,10,0.00361359,0.0307281
300,6,11,0.00363886,0.0289538
300,6,12,0.0049267,0.06591
300,6,13,0.00343069,0.0200585
300,6,14,0.00982733,0.120461
300,6,15,0.0041318,0.0431076
300,6,16,0.00843347,0.112754
300,6,17,0.00763608,0.106169
300,6,18,0.0074947,0.103815
300,6,19,0.00791754,0.105088
300,7,8,0.00526276,0.0599865
300,7,9,0.00530926,0.0636406
300,7,10,0.00455033,0.0463254
300,7,11,0.00446054,0.0437166
300,7,12,0.00578996,0.0789438
300,7,13,0.00447785,0.0453491
300,7,14,0.00864736,0.1021
300,7,15,0.00459079,0.0456385
300,7,16,0.00834884,0.103485
300,7,17,0.00821976,0.107649
300,7,18,0.00682213,0.0868428
300,7,19,0.0099694,0.125473
300,8,9,0.00476715,0.0431756
300,8,10,0.00452602,0.0479004
300,8,11,0.00476367,0.054154
